id,event_ts,region,product,amount,quantity,status,email,notes,dup_group
1,2026-05-11 18:54:00,South,bravo,118.88,4,pending,user1@example.com,note for record 1,grp-1
2,2026-05-11 18:04:00,North,alpha,115.89,7,active,user2@example.com,,grp-2
3,2026-05-11 11:23:00,South,delta,95.06,7,active,user3@example.com,note for record 3,grp-3
4,2026-05-11 15:12:00,East,bravo,77.21,6,inactive,user4@example.com,note for record 4,grp-4
5,2026-05-11 14:07:00,West,alpha,111.73,1,inactive,user5@example.com,note for record 5,grp-5
6,2026-05-11 18:43:00,East,bravo,83.3,10,active,user6@example.com,note for record 6,grp-6
7,2026-05-11 09:21:00,East,delta,118.5,7,inactive,user7@example.com,note for record 7,grp-7
8,2026-05-11 19:26:00,North,bravo,76.25,5,active,user8@example.com,note for record 8,grp-8
9,2026-05-11 18:55:00,North,bravo,96.0,6,inactive,user9@example.com,,grp-9
10,2026-05-11 17:40:00,South,delta,90.22,6,pending,user10@example.com,note for record 10,grp-10
11,2026-05-11 12:12:00,West,delta,99.41,10,active,user11@example.com,,grp-11
12,2026-05-11 08:48:00,South,bravo,81.34,2,inactive,user12@example.com,note for record 12,grp-12
13,2026-05-11 18:10:00,North,alpha,118.4,9,pending,user13@example.com,note for record 13,grp-13
14,2026-05-11 13:48:00,East,delta,99.55,2,active,user14@example.com,note for record 14,grp-14
15,2026-05-11 12:29:00,North,charlie,125.02,9,pending,user15@example.com,note for record 15,grp-15
16,2026-05-11 21:00:00,North,charlie,95.53,3,active,user16@example.com,note for record 16,grp-16
17,2026-05-11 13:14:00,North,alpha,100.74,10,active,user17@example.com,note for record 17,grp-17
18,2026-05-11 10:08:00,West,bravo,111.11,3,pending,user18@example.com,note for record 18,grp-18
19,2026-05-11 17:12:00,West,charlie,100.76,5,pending,user19@example.com,note for record 19,grp-19
20,2026-05-11 09:05:00,North,bravo,77.06,6,active,user20@example.com,note for record 20,grp-20
21,2026-05-11 11:54:00,North,bravo,103.46,6,inactive,user21@example.com,note for record 21,grp-21
22,2026-05-11 17:44:00,West,bravo,101.56,10,inactive,user22@example.com,,grp-22
23,2026-05-11 15:21:00,North,alpha,90.59,1,inactive,user23@example.com,note for record 23,grp-23
24,2026-05-11 11:16:00,West,bravo,112.24,4,inactive,user24@example.com,note for record 24,grp-24
25,2026-05-11 09:17:00,North,alpha,72.07,9,pending,user25@example.com,note for record 25,grp-25
26,2026-05-11 20:51:00,South,delta,110.43,4,active,user26@example.com,note for record 26,grp-26
27,2026-05-11 10:48:00,West,charlie,68.42,5,pending,user27@example.com,note for record 27,grp-27
28,2026-05-11 20:15:00,South,bravo,130.04,8,active,user28@example.com,note for record 28,grp-28
29,2026-05-11 20:45:00,South,alpha,98.13,8,active,user29@example.com,,grp-29
30,2026-05-11 09:09:00,West,alpha,104.43,4,pending,user30@example.com,note for record 30,grp-30
31,2026-05-11 18:34:00,East,charlie,119.11,10,pending,user31@example.com,note for record 31,grp-31
32,2026-05-11 10:14:00,West,charlie,110.82,5,active,not-an-email-32,note for record 32,grp-32
33,2026-05-11 17:36:00,East,bravo,105.85,4,active,user33@example.com,note for record 33,grp-33
34,2026-05-11 10:41:00,East,alpha,99.86,8,pending,user34@example.com,note for record 34,grp-34
35,2026-05-11 10:17:00,South,charlie,97.14,9,active,user35@example.com,note for record 35,grp-35
36,2026-05-11 18:49:00,West,charlie,131.37,5,active,user36@example.com,note for record 36,grp-36
37,2026-05-11 12:43:00,East,bravo,113.0,3,pending,user37@example.com,note for record 37,grp-37
38,2026-05-11 09:54:00,South,alpha,103.7,2,pending,user38@example.com,note for record 38,grp-38
39,2026-05-11 08:42:00,East,bravo,88.5,1,pending,user39@example.com,note for record 39,grp-39
40,2026-05-11 14:56:00,South,bravo,129.99,10,active,user40@example.com,,grp-40
41,2026-05-12 20:34:00,South,charlie,123.3,7,pending,user41@example.com,note for record 41,grp-41
42,2026-05-12 16:01:00,South,delta,88.03,4,active,user42@example.com,note for record 42,grp-42
43,2026-05-12 14:48:00,East,delta,85.84,5,pending,user43@example.com,,grp-43
44,2026-05-12 12:27:00,East,alpha,126.43,3,inactive,user44@example.com,note for record 44,grp-44
45,2026-05-12 15:26:00,South,charlie,85.9,7,inactive,not-an-email-45,note for record 45,grp-45
46,2026-05-12 17:11:00,East,delta,88.89,4,pending,user46@example.com,note for record 46,grp-46
47,2026-05-12 19:19:00,East,delta,113.82,5,pending,user47@example.com,note for record 47,grp-47
48,2026-05-12 15:10:00,South,charlie,80.47,7,active,user48@example.com,note for record 48,grp-48
49,2026-05-12 17:53:00,West,bravo,89.63,8,pending,user49@example.com,,grp-49
50,2026-05-12 16:47:00,East,alpha,91.78,10,active,user50@example.com,note for record 50,grp-0
51,2026-05-12 11:23:00,North,delta,102.77,8,pending,user51@example.com,note for record 51,grp-1
52,2026-05-12 14:33:00,West,bravo,103.69,8,pending,not-an-email-52,note for record 52,grp-2
53,2026-05-12 09:49:00,West,alpha,101.87,9,active,user53@example.com,note for record 53,grp-3
54,2026-05-12 19:23:00,East,delta,89.63,9,pending,user54@example.com,note for record 54,grp-4
55,2026-05-12 17:21:00,West,charlie,91.67,8,pending,user55@example.com,note for record 55,grp-5
56,2026-05-12 16:16:00,East,delta,102.94,4,inactive,user56@example.com,note for record 56,grp-6
57,2026-05-12 17:13:00,South,bravo,107.5,7,inactive,user57@example.com,note for record 57,grp-7
58,2026-05-12 09:03:00,West,delta,104.16,4,pending,user58@example.com,,grp-8
59,2026-05-12 17:49:00,East,delta,98.81,6,inactive,user59@example.com,note for record 59,grp-9
60,2026-05-12 18:17:00,West,bravo,101.11,4,inactive,user60@example.com,note for record 60,grp-10
61,2026-05-12 19:35:00,South,alpha,107.17,8,pending,user61@example.com,,grp-11
62,2026-05-12 18:58:00,South,delta,77.02,7,inactive,user62@example.com,note for record 62,grp-12
63,2026-05-12 13:34:00,West,charlie,83.87,5,inactive,not-an-email-63,note for record 63,grp-13
64,2026-05-12 13:58:00,North,alpha,126.32,4,active,user64@example.com,,grp-14
65,2026-05-12 10:36:00,South,delta,101.22,2,inactive,user65@example.com,note for record 65,grp-15
66,2026-05-12 20:45:00,South,charlie,116.95,2,active,user66@example.com,note for record 66,grp-16
67,2026-05-12 14:24:00,South,alpha,81.07,2,inactive,user67@example.com,note for record 67,grp-17
68,2026-05-12 10:03:00,North,charlie,114.37,10,pending,user68@example.com,note for record 68,grp-18
69,2026-05-12 13:49:00,North,delta,115.61,8,pending,user69@example.com,note for record 69,grp-19
70,2026-05-12 10:36:00,South,charlie,101.24,7,pending,user70@example.com,note for record 70,grp-20
71,2026-05-12 20:28:00,North,charlie,88.94,4,active,user71@example.com,note for record 71,grp-21
72,2026-05-12 19:24:00,East,alpha,92.74,7,inactive,user72@example.com,note for record 72,grp-22
73,2026-05-12 12:24:00,North,bravo,83.38,5,pending,user73@example.com,note for record 73,grp-23
74,2026-05-12 12:06:00,West,delta,126.06,8,active,user74@example.com,note for record 74,grp-24
75,2026-05-12 12:09:00,East,delta,93.15,8,pending,user75@example.com,note for record 75,grp-25
76,2026-05-12 12:37:00,East,bravo,118.58,5,active,user76@example.com,note for record 76,grp-26
77,2026-05-12 21:00:00,East,charlie,96.41,8,active,user77@example.com,note for record 77,grp-27
78,2026-05-12 13:09:00,South,charlie,90.9,1,active,user78@example.com,note for record 78,grp-28
79,2026-05-12 10:09:00,North,charlie,83.76,2,inactive,user79@example.com,note for record 79,grp-29
80,2026-05-12 12:18:00,North,alpha,80.89,8,active,user80@example.com,note for record 80,grp-30
81,2026-05-13 10:35:00,North,bravo,111.42,5,inactive,user81@example.com,note for record 81,grp-31
82,2026-05-13 11:51:00,West,delta,115.55,9,inactive,user82@example.com,note for record 82,grp-32
83,2026-05-13 13:12:00,South,bravo,95.2,2,active,user83@example.com,note for record 83,grp-33
84,2026-05-13 09:16:00,North,delta,97.79,3,pending,user84@example.com,,grp-34
85,2026-05-13 12:55:00,North,bravo,93.76,8,pending,user85@example.com,note for record 85,grp-35
86,2026-05-13 11:22:00,North,bravo,77.48,7,inactive,user86@example.com,,grp-36
87,2026-05-13 10:49:00,East,delta,105.34,10,pending,user87@example.com,note for record 87,grp-37
88,2026-05-13 12:38:00,West,delta,80.55,9,active,user88@example.com,note for record 88,grp-38
89,2026-05-13 18:18:00,North,charlie,99.98,10,active,user89@example.com,note for record 89,grp-39
90,2026-05-13 12:44:00,West,delta,106.56,3,inactive,user90@example.com,note for record 90,grp-40
91,2026-05-13 19:26:00,West,charlie,107.03,7,inactive,user91@example.com,note for record 91,grp-41
92,2026-05-13 15:45:00,East,charlie,105.43,2,inactive,user92@example.com,note for record 92,grp-42
93,2026-05-13 08:01:00,North,bravo,89.72,7,pending,user93@example.com,note for record 93,grp-43
94,2026-05-13 20:58:00,South,charlie,84.31,1,inactive,user94@example.com,note for record 94,grp-44
95,2026-05-13 10:04:00,South,charlie,120.81,4,pending,user95@example.com,note for record 95,grp-45
96,2026-05-13 09:56:00,North,bravo,103.82,8,pending,user96@example.com,note for record 96,grp-46
97,2026-05-13 15:05:00,West,bravo,121.33,4,pending,user97@example.com,note for record 97,grp-47
98,2026-05-13 09:11:00,West,charlie,63.79,5,pending,user98@example.com,,grp-48
99,2026-05-13 20:23:00,South,delta,94.01,8,inactive,user99@example.com,note for record 99,grp-49
100,2026-05-13 14:26:00,East,bravo,119.03,8,active,user100@example.com,note for record 100,grp-0
101,2026-05-13 15:00:00,West,bravo,123.86,7,active,user101@example.com,note for record 101,grp-1
102,2026-05-13 13:39:00,West,alpha,106.71,2,inactive,not-an-email-102,note for record 102,grp-2
103,2026-05-13 19:10:00,East,delta,105.81,5,inactive,user103@example.com,note for record 103,grp-3
104,2026-05-13 14:29:00,West,alpha,98.89,6,active,user104@example.com,note for record 104,grp-4
105,2026-05-13 11:52:00,North,delta,99.67,2,inactive,user105@example.com,,grp-5
106,2026-05-13 08:57:00,East,charlie,84.0,5,active,user106@example.com,note for record 106,grp-6
107,2026-05-13 11:04:00,South,delta,102.93,7,active,user107@example.com,note for record 107,grp-7
108,2026-05-13 15:50:00,North,delta,105.33,5,pending,user108@example.com,,grp-8
109,2026-05-13 13:53:00,East,delta,112.61,7,active,user109@example.com,note for record 109,grp-9
110,2026-05-13 09:49:00,West,charlie,99.02,4,pending,user110@example.com,note for record 110,grp-10
111,2026-05-13 19:14:00,West,charlie,98.48,1,active,user111@example.com,note for record 111,grp-11
112,2026-05-13 18:51:00,East,bravo,101.16,4,pending,user112@example.com,note for record 112,grp-12
113,2026-05-13 15:31:00,North,charlie,113.98,3,inactive,user113@example.com,note for record 113,grp-13
114,2026-05-13 17:12:00,East,bravo,102.97,6,inactive,user114@example.com,note for record 114,grp-14
115,2026-05-13 13:46:00,South,bravo,105.63,2,pending,user115@example.com,note for record 115,grp-15
116,2026-05-13 17:30:00,North,delta,84.11,6,??,user116@example.com,note for record 116,grp-16
117,2026-05-13 19:28:00,East,alpha,99.93,7,inactive,user117@example.com,note for record 117,grp-17
118,2026-05-13 17:34:00,South,alpha,88.3,6,inactive,user118@example.com,note for record 118,grp-18
119,2026-05-13 14:58:00,East,delta,103.4,1,active,user119@example.com,note for record 119,grp-19
120,2026-05-13 15:44:00,West,bravo,103.06,6,pending,user120@example.com,note for record 120,grp-20
121,2026-05-14 14:57:00,South,delta,111.27,6,active,user121@example.com,,grp-21
122,2026-05-14 19:42:00,East,alpha,95.46,6,active,user122@example.com,note for record 122,grp-22
123,2026-05-14 15:45:00,North,alpha,108.69,10,active,user123@example.com,note for record 123,grp-23
124,2026-05-14 11:30:00,South,bravo,105.64,2,active,user124@example.com,note for record 124,grp-24
125,2026-05-14 18:10:00,South,charlie,129.65,3,active,user125@example.com,,grp-25
126,2026-05-14 08:15:00,South,charlie,100.53,6,??,user126@example.com,note for record 126,grp-26
127,2026-05-14 15:11:00,West,charlie,75.51,8,active,user127@example.com,note for record 127,grp-27
128,2026-05-14 18:29:00,East,delta,95.95,1,active,user128@example.com,note for record 128,grp-28
129,2026-05-14 14:51:00,North,alpha,93.59,8,active,user129@example.com,note for record 129,grp-29
130,2026-05-14 18:48:00,East,delta,103.2,10,pending,user130@example.com,note for record 130,grp-30
131,2026-05-14 15:20:00,South,delta,118.95,9,active,user131@example.com,note for record 131,grp-31
132,2026-05-14 14:48:00,North,charlie,113.62,7,pending,user132@example.com,note for record 132,grp-32
133,2026-05-14 19:43:00,North,delta,104.95,2,pending,user133@example.com,note for record 133,grp-33
134,2026-05-14 09:01:00,East,alpha,97.4,10,pending,user134@example.com,note for record 134,grp-34
135,2026-05-14 20:18:00,East,alpha,111.71,5,active,user135@example.com,note for record 135,grp-35
136,2026-05-14 09:50:00,East,alpha,103.92,6,pending,user136@example.com,note for record 136,grp-36
137,2026-05-14 17:34:00,North,charlie,127.35,10,??,user137@example.com,note for record 137,grp-37
138,2026-05-14 13:47:00,North,bravo,95.59,6,pending,user138@example.com,,grp-38
139,2026-05-14 20:38:00,South,delta,97.49,9,inactive,user139@example.com,note for record 139,grp-39
140,2026-05-14 13:32:00,North,alpha,97.22,10,pending,user140@example.com,,grp-40
141,2026-05-14 15:33:00,West,charlie,90.91,8,pending,user141@example.com,note for record 141,grp-41
142,2026-05-14 12:50:00,West,charlie,85.28,10,inactive,user142@example.com,,grp-42
143,2026-05-14 11:29:00,East,charlie,96.72,3,active,user143@example.com,note for record 143,grp-43
144,2026-05-14 10:12:00,South,charlie,109.8,7,pending,user144@example.com,,grp-44
145,2026-05-14 09:19:00,West,delta,112.72,10,inactive,user145@example.com,note for record 145,grp-45
146,2026-05-14 18:32:00,East,alpha,85.03,8,active,user146@example.com,note for record 146,grp-46
147,2026-05-14 16:56:00,South,charlie,126.7,6,active,user147@example.com,note for record 147,grp-47
148,2026-05-14 16:42:00,East,charlie,114.39,4,pending,user148@example.com,note for record 148,grp-48
149,2026-05-14 10:29:00,North,bravo,99.65,3,pending,user149@example.com,note for record 149,grp-49
150,2026-05-14 20:58:00,West,charlie,109.25,10,pending,user150@example.com,note for record 150,grp-0
